Month_Year,Country,Month_Ahead_FX,CEP_Log,RER_Level,Momentum_Log,DXY_Level,FX_Vol_Abs,TED_Rel,VIX_Rel,NBER,Row,Column
2021-Dec,Ireland,-0.011946516,-0.00007752,98.53,-0.019653862,115.0036,0.0033,0.2727,0.1541,0,2,13
2021-Dec,Indonesia,-0.009081446,0.00093005,99.56,-0.010883028,115.0036,0.002,0.2727,0.1541,0,2,14
2021-Dec,Netherlands,-0.011946516,-0.00244763,100.17,-0.019653862,115.0036,0.0033,0.2727,0.1541,0,2,15
2021-Dec,Denmark,-0.012549923,-0.00140702,97.27,-0.019274292,115.0036,0.0034,0.2727,0.1541,0,2,16
2021-Dec,Malaysia,-0.004791576,-0.00082163,98.16,-0.014630313,115.0036,0.0025,0.2727,0.1541,0,2,17
2021-Dec,Colombia,0.030976072,-0.00625724,92.54,-0.060580631,115.0036,0.0082,0.2727,0.1541,0,2,18
2021-Dec,Peru,0.037896688,-0.0019904,87.17,-0.01674106,115.0036,0.0038,0.2727,0.1541,0,2,19
2021-Dec,Norway,-0.00987534,0.00726296,105.65,-0.067699277,115.0036,0.0085,0.2727,0.1541,0,2,20
2021-Dec,New_Zealand,-0.037323335,0.00024843,105.83,-0.049062396,115.0036,0.0046,0.2727,0.1541,0,2,21
2021-Dec,South_Africa,0.038974872,0.00261374,105.08,-0.043105656,115.0036,0.0078,0.2727,0.1541,0,2,22
2021-Dec,Chile,0.062042911,-0.00138849,95.01,-0.016464791,115.0036,0.0097,0.2727,0.1541,0,2,23
2021-Dec,Canada,-0.005604024,-0.00296517,102.89,-0.030920875,115.0036,0.0048,0.2727,0.1541,0,2,24
2021-Dec,Australia,-0.027368366,0.00860014,103.4,-0.054370123,115.0036,0.0058,0.2727,0.1541,0,2,25
2021-Dec,Mexico,-0.006713394,-0.00282481,104.64,-0.042491469,115.0036,0.0063,0.2727,0.1541,0,2,26
2021-Dec,Brazil,0.048968806,0.00180708,95.95,0.002362115,115.0036,0.0086,0.2727,0.1541,0,2,27
2021-Dec,Russia,-0.035407467,-0.00536346,103.03,-0.041225568,115.0036,0.0049,0.2727,0.1541,0,2,28
2021-Nov,Ireland,0.002818888,-0.00062219,98.68,-0.00172846,114.0758,0.0046,0.5714,0.0353,0,3,13
2021-Nov,Indonesia,0.004900255,-0.01010752,99.15,0.01018446,114.0758,0.0021,0.5714,0.0353,0,3,14
2021-Nov,Netherlands,0.002818888,-0.00805462,99.85,-0.00172846,114.0758,0.0046,0.5714,0.0353,0,3,15
2021-Nov,Denmark,0.002748303,-0.00357263,98.01,-0.001664606,114.0758,0.0046,0.5714,0.0353,0,3,16
