Date,IDR,IEE,NLE,DKK,MYR,COP,PEN,NOK,NZD,ZAR,CLP,CAD,AUD,MXN,BRL,RUB,DXY
2025-02-01,16370,0.971628449,0.971628449,7.2462,4.467,4135,3.71,11.2301,1.775883502,18.4776,961,1.4339,1.597188947,20.6413,5.7874,96.6205,129.0413
2025-01-01,16295,0.965064659,0.965064659,7.2015,4.45,4202.5,3.727,11.3174,1.77430802,18.6513,980.38,1.4524,1.610046691,20.678,5.841,98.5705,127.814
2024-12-01,16090,0.965903603,0.965903603,7.2022,4.468,4401.96,3.7539,11.3657,1.787949222,18.8506,992.6,1.438,1.616292226,20.8197,6.1778,113.4955,126.5329
2024-11-01,15840,0.945626478,0.945626478,7.0511,4.44,4432.5,3.738,11.0181,1.690617075,18.0503,973.15,1.4002,1.53609831,20.361,5.973,106.4955,123.831
2024-10-01,15690,0.918864284,0.918864284,6.8526,4.375,4425.07,3.773,10.9922,1.673360107,17.5589,961.12,1.3933,1.519525908,20.012,5.7867,97.3705,122.1296
2024-09-01,15135,0.898149811,0.898149811,6.6942,4.121,4205.97,3.6893,10.5442,1.575299307,17.2574,898.6,1.3524,1.446549978,19.678,5.4482,92.9955,122.8802
2024-08-01,15450,0.905223138,0.905223138,6.7503,4.318,4186.5,3.748,10.5944,1.600256041,17.8217,912.77,1.3493,1.478415139,19.71,5.6103,90.6455,123.7208
2024-07-01,16255,0.923787529,0.923787529,6.8921,4.592,4047.59,3.7202,10.8894,1.681237391,18.1976,942.5,1.3808,1.529051988,18.6,5.65,86.15,124.0309
2024-06-01,16370,0.933445347,0.933445347,6.9599,4.715,4148.65,3.826,10.6642,1.64365549,18.185,940.45,1.3677,1.499925004,18.33,5.5925,85.7455,122.2444
2024-05-01,16245,0.922424131,0.922424131,6.8746,4.704,3855.16,3.7094,10.4669,1.628134158,18.8079,918.28,1.3626,1.503307276,16.993,5.2443,90.3755,122.5142
2024-04-01,16255,0.937646507,0.937646507,6.9928,4.77,3920.5,3.7519,11.1033,1.698946653,18.7556,959.04,1.3777,1.545117429,17.1355,5.1934,93.4455,121.0413
2024-03-01,15850,0.926526452,0.926526452,6.91,4.7225,3857,3.713,10.8158,1.673080141,18.9214,978.97,1.3537,1.533507131,16.531,5.0153,92.5705,121.4155
2024-02-01,15710,0.925668796,0.925668796,6.8973,4.742,3920.51,3.7665,10.6024,1.642845408,19.2061,965.38,1.3575,1.539645881,17.049,4.9716,91.4955,120.5769
2024-01-01,15775,0.924556213,0.924556213,6.8895,4.727,3895.5,3.7879,10.5042,1.635590448,18.6739,929,1.3434,1.523229246,17.212,4.9526,89.9455,120.1585
2023-12-01,15395,0.906125408,0.906125408,6.7542,4.59,3872.59,3.704,10.1351,1.581527756,18.2822,880.58,1.3245,1.468428781,16.954,4.8521,89.2455,121.5369
2023-11-01,15505,0.91861106,0.91861106,6.8473,4.657,4007.57,3.7226,10.8103,1.625223468,18.8524,869.95,1.3562,1.514004542,17.3784,4.9205,89.9705,123.7914
2023-10-01,15880,0.945537065,0.945537065,7.0563,4.762,4115.5,3.8241,11.1701,1.716738197,18.6424,894.55,1.3874,1.578282828,18.037,5.035,93.5955,121.9827
2023-09-01,15450,0.946073794,0.946073794,7.0518,4.6935,4075,3.7811,10.6829,1.668056714,18.9152,890.7,1.3577,1.554243084,17.397,5.032,97,120.2177
2023-08-01,15225,0.922424131,0.922424131,6.8728,4.637,4087.55,3.6755,10.6314,1.676727029,18.8706,851.8,1.3507,1.542495758,17.027,4.9544,94.875,118.4119
2023-07-01,15075,0.90966979,0.90966979,6.7755,4.507,3919.5,3.5873,10.128,1.610824742,17.8504,838.45,1.3187,1.488095238,16.728,4.7241,91.7455,119.5789
2023-06-01,14990,0.916590284,0.916590284,6.8219,4.665,4172.5,3.6102,10.7164,1.63291966,18.8263,800.93,1.3236,1.500150015,17.1135,4.786,86.95,119.7956
2023-05-01,14985,0.935628743,0.935628743,6.966,4.613,4448.5,3.6561,11.0837,1.660853679,19.7248,808.3,1.3572,1.538461538,17.6819,5.0574,81.5455,119.3744
2023-04-01,14665,0.907441016,0.907441016,6.7649,4.458,4695.5,3.7044,10.6304,1.617337862,18.2688,806.36,1.355,1.513546239,17.98,4.9865,79.45,120.8071
2023-03-01,14990,0.922594335,0.922594335,6.8705,4.41,4651.5,3.7613,10.4598,1.598210005,17.7803,794.44,1.3515,1.495886313,18.0099,5.0631,77.9955,120.3366
2023-02-01,15245,0.945537065,0.945537065,7.0368,4.485,4856.68,3.7774,10.3772,1.617599482,18.3487,827.47,1.3645,1.486325803,18.301,5.2367,75.0455,119.8133
2023-01-01,14985,0.920640766,0.920640766,6.8467,4.263,4667.72,3.8276,9.9789,1.553036186,17.3985,795.48,1.3305,1.417635384,18.82,5.0731,70.57,122.2476
